etapa,modelo,umbral,accuracy,precision,recall,f1,f2,roc_auc,tn,fp,fn,tp
Atitlán -> Atitlán (mismo lago),Regresión Logística,0.6,0.9428287072874046,0.15359101926266105,0.9333333333333333,0.26377478365647933,0.4631125471190092,0.9817418255087558,109634,6635,86,1204
Atitlán -> Atitlán (mismo lago),Random Forest,0.59,0.9750338128088875,0.27521180650450944,0.7806201550387597,0.4069508991715498,0.5709264088898968,0.9822711580156177,113617,2652,283,1007
Atitlán -> Atitlán (mismo lago),Gradient Boosting,0.7449999999999999,0.9632780135931744,0.21198858230256898,0.8635658914728682,0.3404125286478228,0.5348055688910226,0.9834376190311417,112128,4141,176,1114
Amatitlán -> Amatitlán (mismo lago),Regresión Logística,0.6,0.8383832641691774,0.825019425019425,0.7556219755194991,0.7887972661763614,0.7685514925157069,0.9204095962141293,9439,1126,1717,5309
Amatitlán -> Amatitlán (mismo lago),Random Forest,0.59,0.8846569268375875,0.8727435476652246,0.8326216908625107,0.8522106489911866,0.8403482058206683,0.9592976341407325,9712,853,1176,5850
Amatitlán -> Amatitlán (mismo lago),Gradient Boosting,0.7449999999999999,0.8767551588880678,0.9345259391771019,0.7435240535155138,0.8281547241597971,0.7752122039532261,0.9601735437666518,10199,366,1802,5224
Atitlán -> Amatitlán (Experimento A),Regresión Logística,0.6,0.6102223889760556,0.5965753424657534,0.07438404714121012,0.13227533315615628,0.09016936519110522,0.6948903172810019,34039,1178,21677,1742
Atitlán -> Amatitlán (Experimento A),Random Forest,0.59,0.6095402142028787,0.6086235489220564,0.06268414535206457,0.11366187913747049,0.07638831071517775,0.6123034568750977,34273,944,21951,1468
Atitlán -> Amatitlán (Experimento A),Gradient Boosting,0.7449999999999999,0.6047138276826522,0.5445142223864056,0.06294034758102396,0.1128377861134502,0.07646576678459895,0.5981191669144306,33984,1233,21945,1474
Amatitlán -> Atitlán (Experimento B),Regresión Logística,0.6,0.3574871830205965,0.015490034848662829,0.9202140032565713,0.03046721270442722,0.07256425495073114,0.8014780283734014,136130,251434,343,3956
Amatitlán -> Atitlán (Experimento B),Random Forest,0.59,0.6621753010618507,0.009805272343161569,0.29797627355198886,0.01898579400191192,0.04332386363636364,0.5292177851626179,258201,129363,3018,1281
Amatitlán -> Atitlán (Experimento B),Gradient Boosting,0.7449999999999999,0.7219615018514124,0.009422110552763818,0.23377529658060014,0.01811414615682705,0.0405699983852737,0.5579042234659658,281905,105659,3294,1005
