etapa,modelo,umbral,accuracy,precision,recall,f1,f2,roc_auc,tn,fp,fn,tp,fold
Espacial,Regresión Logística,0.6,0.8827068002974506,0.302659449282184,0.6967672024562037,0.42200831327936994,0.5528012609256341,0.8974379092567795,75673,8889,1679,3858,0
Espacial,Regresión Logística,0.6,0.899023307436182,0.42805083992534,0.6439363551276909,0.5142552055525894,0.5849345349430369,0.8893590077456629,76186,6435,2663,4816,1
Espacial,Regresión Logística,0.6,0.9134859768482037,0.40663940809968846,0.7107367704611196,0.5173075732243483,0.6182652457075193,0.920413879346771,78129,6095,1700,4177,2
Espacial,Regresión Logística,0.6,0.9309307642788963,0.3733165512901196,0.7045130641330166,0.4880296174413821,0.5983457736534195,0.9173427842612686,80909,4979,1244,2966,3
Espacial,Regresión Logística,0.6,0.9275146779724975,0.3911363636363636,0.7458288190682557,0.5131569139023481,0.6313279530447542,0.9220542191381992,80128,5358,1173,3442,4
Espacial,Random Forest,0.59,0.9306207616066771,0.4590690208667737,0.7231352718078382,0.5616102110947472,0.6485260770975056,0.949701302034232,79844,4718,1533,4004,0
Espacial,Random Forest,0.59,0.9465815760266371,0.6448598130841121,0.7934215804251905,0.7114681374018345,0.7584743596298379,0.9696098843366366,79353,3268,1545,5934,1
Espacial,Random Forest,0.59,0.954262438818659,0.6026420388122515,0.8771482048664284,0.7144342041438569,0.8039111721040484,0.9840105895609875,80825,3399,722,5155,2
Espacial,Random Forest,0.59,0.9593997647006592,0.542910447761194,0.8294536817102138,0.6562676188686337,0.7502578205568924,0.9799946779277922,82948,2940,718,3492,3
Espacial,Random Forest,0.59,0.9554166990377465,0.5418650238028564,0.838569880823402,0.658331206940546,0.7558003280993673,0.9794982808003967,82214,3272,745,3870,4
Espacial,Gradient Boosting,0.7449999999999999,0.9330292234098048,0.47300380228136885,0.786346396965866,0.5906932573599241,0.6943514177271712,0.9511899191515172,79711,4851,1183,4354,0
Espacial,Gradient Boosting,0.7449999999999999,0.944361820199778,0.6307529162248144,0.7952934884342826,0.7035306641433556,0.7558582829258375,0.9720577820913935,79139,3482,1531,5948,1
Espacial,Gradient Boosting,0.7449999999999999,0.9526975283293193,0.5911914172783738,0.8907605921388464,0.7106978007059462,0.8087939931403145,0.984778950065114,80604,3620,642,5235,2
Espacial,Gradient Boosting,0.7449999999999999,0.9595218539812205,0.543785969824234,0.8304038004750594,0.6572046244947833,0.7512140616270575,0.9803556753246121,82955,2933,714,3496,3
Espacial,Gradient Boosting,0.7449999999999999,0.9548506675841556,0.5380230779924927,0.838569880823402,0.6554878048780488,0.7542977429540405,0.9801135697547201,82163,3323,745,3870,4
